year,month,state,latitude,longitude,firespots
2002,11,Amapa,0.8939777932960893,-51.139945893854744,2148
2002,11,Amazonas,-3.4985902007168455,-59.67883462365592,1395
2002,11,Maranhao,-3.5251720289698407,-45.85358089287645,9251
2002,11,Mato Grosso,-12.707937102770957,-56.45948041388986,2851
2002,11,Para,-2.821384253742119,-50.77836650334505,20777
2002,11,Rondonia,-11.06359417153996,-62.790018518518515,1026
2002,11,Roraima,2.9997685763888886,-60.42108798611112,288
2002,11,Tocantins,-6.489297857142857,-48.45792857142857,28
2002,12,Acre,-9.497666666666666,-69.882,3
2002,12,Amapa,0.5553516933638444,-51.162577414187645,437
2002,12,Amazonas,-2.8637714642857146,-60.16411064285714,280
2002,12,Maranhao,-3.003344364540932,-45.82010404341927,4422
2002,12,Mato Grosso,-12.367553182819384,-55.554960022026435,908
2002,12,Para,-2.582711015625,-49.9978996156754,7936
2002,12,Rondonia,-11.689765,-62.6518687704918,122
2002,12,Roraima,1.900477941834452,-60.29447798657718,447
2002,12,Tocantins,-6.728524285714285,-48.59952357142857,14
2003,1,Acre,-8.158642857142858,-71.77478571428571,14
2003,1,Amapa,-0.2975142857142857,-51.71122857142857,35
2003,1,Amazonas,-1.9383852242744064,-63.476319261213725,379
2003,1,Maranhao,-3.2678737623762375,-46.072470297029696,404
2003,1,Mato Grosso,-12.414110552763821,-55.14110217755444,597
2003,1,Para,-2.6193020833333334,-50.26369375,1440
2003,1,Rondonia,-11.10795652173913,-63.49766666666666,69
2003,1,Roraima,1.8097950065703023,-60.51604336399474,761
2003,1,Tocantins,-7.1002,-48.6262,5
2003,2,Amazonas,-0.8021937984496126,-64.20937209302326,129
2003,2,Maranhao,-4.881,-45.598,1
2003,2,Mato Grosso,-12.426282798833821,-55.57710204081633,343
2003,2,Para,-4.471565217391304,-51.74091304347826,23
2003,2,Rondonia,-11.546714285714284,-63.001,14
2003,2,Roraima,1.8526453433678267,-60.755095014111,1063
2003,3,Amapa,1.3802,-51.5178,5
2003,3,Amazonas,-1.5317978723404255,-64.13525531914894,94
2003,3,Maranhao,-3.7925,-45.9965,2
2003,3,Mato Grosso,-12.503953296703296,-55.38921428571429,364
2003,3,Para,-2.520571428571429,-51.583642857142856,28
2003,3,Rondonia,-11.054833333333331,-62.106333333333325,12
2003,3,Roraima,2.4464044414535664,-61.181977119784655,1486
2003,3,Tocantins,-6.421333333333333,-48.9385,6
2003,4,Acre,-9.6902,-70.201,5
2003,4,Amapa,1.2426666666666664,-50.763666666666666,3
2003,4,Amazonas,-2.7949523809523806,-62.474309523809524,42
2003,4,Maranhao,-3.7715,-45.952666666666666,6
2003,4,Mato Grosso,-12.396040268456378,-54.980583892617446,596
2003,4,Para,-4.082642857142857,-49.53042857142857,14
2003,4,Rondonia,-11.266333333333332,-62.541444444444444,18
2003,4,Roraima,2.713276836158192,-61.04946892655368,354
2003,5,Acre,-9.949277777777777,-68.9,18
2003,5,Amapa,-0.465,-51.853,1
2003,5,Amazonas,-5.5855,-62.205416666666665,24
2003,5,Maranhao,-3.0955714285714286,-45.94317142857143,35
2003,5,Mato Grosso,-12.248964964370545,-55.03461579572448,1684
2003,5,Para,-3.3528660714285716,-49.815580357142856,112
2003,5,Rondonia,-11.255823529411764,-62.062823529411766,102
2003,5,Roraima,3.732166666666666,-61.03816666666666,6
2003,5,Tocantins,-8.102,-49.04,1
2003,6,Acre,-9.366055555555555,-69.24088888888889,18
2003,6,Amapa,0.882,-51.104,3
2003,6,Amazonas,-3.7641388888888887,-60.065,36
2003,6,Maranhao,-3.18075,-45.97265789473684,76
2003,6,Mato Grosso,-12.070989295125164,-55.27324736495389,6072
2003,6,Para,-4.028275434243176,-49.539863523573196,403
2003,6,Rondonia,-11.888598253275108,-61.76521397379913,229
2003,6,Roraima,3.112,-61.13625,4
2003,6,Tocantins,-7.789142857142858,-48.42585714285714,7
2003,7,Acre,-9.594758782201405,-68.74016159250586,427
2003,7,Amapa,0.245,-50.964,1
2003,7,Amazonas,-6.9315083969465645,-62.88119389312977,655
2003,7,Maranhao,-3.887446902654867,-45.99480973451328,226
2003,7,Mato Grosso,-11.332507948774564,-56.06852759991168,9058
2003,7,Para,-6.148513371788149,-52.45076533822758,3814
2003,7,Rondonia,-10.877724447101016,-62.71935146443515,1673
2003,7,Tocantins,-7.212953125,-48.43775,64
2003,8,Acre,-9.530148593107809,-68.89687922858047,3163
2003,8,Amapa,1.086,-51.21728571428571,21
2003,8,Amazonas,-7.593764998342723,-64.61715677825656,3017
2003,8,Maranhao,-3.428567415730337,-45.71805617977528,356
2003,8,Mato Grosso,-10.834949334898278,-57.26947202660407,10224
2003,8,Para,-6.908968788732394,-51.98416011267606,8875
2003,8,Rondonia,-10.588214940877442,-62.98016664824842,9049
2003,8,Roraima,1.6113333333333333,-60.50633333333332,6
2003,8,Tocantins,-6.969777777777778,-48.54207407407408,54
2003,9,Acre,-9.567953644666554,-69.1688760985697,5803
2003,9,Amapa,1.4439407407407407,-51.05148888888889,135
2003,9,Amazonas,-6.940850038550501,-64.97140940632228,2594
2003,9,Maranhao,-3.747450892857143,-45.97907886904762,672
2003,9,Mato Grosso,-11.067408427655801,-55.677338742670116,14666
2003,9,Para,-6.6451889495765055,-50.84045175334442,12633
2003,9,Rondonia,-11.075364488583629,-62.83901679970299,10774
2003,9,Roraima,2.4935,-60.610875,8
2003,9,Tocantins,-7.157988095238095,-48.60762698412697,504
2003,10,Acre,-9.658300672430356,-69.09605379442843,1041
2003,10,Amapa,1.5644714828897337,-51.19236121673004,526
2003,10,Amazonas,-4.8708951917882235,-61.641434359805515,1851
2003,10,Maranhao,-4.3004219615509935,-46.06665200391007,3069
2003,10,Mato Grosso,-12.553219890510949,-57.150724908759116,4384
2003,10,Para,-3.885957740146861,-51.1927907987412,6673
2003,10,Rondonia,-10.926758661572915,-63.07386852852061,7591
2003,10,Roraima,2.162875,-60.72820833333333,24
2003,10,Tocantins,-6.63160989010989,-48.536637362637364,182
2003,11,Acre,-8.157533333333333,-71.86486666666666,30
2003,11,Amapa,1.0592667860340197,-51.24443419874664,1117
2003,11,Amazonas,-3.5527884615384613,-60.05251666666666,780
2003,11,Maranhao,-3.7418904139915874,-45.95080783706,4517
2003,11,Mato Grosso,-12.27479889298893,-56.34643296432964,1626
2003,11,Para,-2.655992359299292,-50.39845490122997,10732
2003,11,Rondonia,-11.210550066755674,-62.87239519359145,749
2003,11,Roraima,2.611942307692308,-60.72140384615384,52
2003,11,Tocantins,-6.156142857142857,-48.40871428571429,28
2003,12,Acre,-9.5165,-69.26825,4
2003,12,Amapa,0.7553796711509718,-51.08092526158445,669
2003,12,Amazonas,-3.168642372881356,-60.375559322033894,590
2003,12,Maranhao,-3.169775823353293,-45.87585815868264,2672
2003,12,Mato Grosso,-12.322864422202,-55.56919563239309,1099
2003,12,Para,-2.489853370312312,-50.67516821415652,8293
2003,12,Rondonia,-11.382573122529644,-62.92425691699604,253
2003,12,Roraima,2.68004932735426,-60.27844843049327,223
2003,12,Tocantins,-7.0298,-48.5433,10
2004,1,Amapa,0.13186206896551728,-51.64208620689655,58
2004,1,Amazonas,-0.7619638989169675,-64.50315162454874,277
2004,1,Maranhao,-3.1337024793388433,-45.985557851239676,242
2004,1,Mato Grosso,-12.428064327485378,-55.52833333333332,171
2004,1,Para,-2.3700777142857143,-50.86759314285714,875
2004,1,Rondonia,-11.770258064516128,-63.30654838709677,31
2004,1,Roraima,2.321239463601533,-60.244959770114946,522
2004,1,Tocantins,-6.3745,-48.1895,2
2004,2,Acre,-8.15075,-72.61125,4
2004,2,Amapa,0.686,-50.987,1
2004,2,Amazonas,-0.3722713178294573,-64.02035658914728,129
2004,2,Maranhao,-4.471333333333333,-45.996,6
2004,2,Mato Grosso,-12.654784090909091,-55.52686363636364,264
2004,2,Para,-3.5081944444444444,-51.67094444444445,36
2004,2,Rondonia,-10.4179375,-63.9149375,16
2004,2,Roraima,2.580166189111748,-60.44234097421203,349
2004,3,Amazonas,-2.34345,-64.9055,20
2004,3,Maranhao,-3.0525,-46.333,4
2004,3,Mato Grosso,-12.631333992094861,-55.48069169960473,506
2004,3,Para,-3.4617241379310344,-49.87593103448276,29
2004,3,Rondonia,-11.5345,-62.53226923076923,26
2004,3,Roraima,1.803002227171492,-60.485409799554574,449
