state,date,precipitation,year,month
Roraima,2013-07-31,253.7,2013,7
Roraima,2013-08-31,312.7,2013,8
Roraima,2013-09-30,74.2,2013,9
Roraima,2013-10-31,90.1,2013,10
Roraima,2013-11-30,251.0,2013,11
Roraima,2013-12-31,77.8,2013,12
Roraima,2014-01-31,3.8,2014,1
Roraima,2014-02-28,19.2,2014,2
Roraima,2014-03-31,22.0,2014,3
Roraima,2014-04-30,72.3,2014,4
Roraima,2014-05-31,79.0,2014,5
Roraima,2014-06-30,371.9,2014,6
Roraima,2014-07-31,215.6,2014,7
Roraima,2014-08-31,195.1,2014,8
Roraima,2014-09-30,22.5,2014,9
Roraima,2014-10-31,121.8,2014,10
Roraima,2014-11-30,114.7,2014,11
Roraima,2014-12-31,30.3,2014,12
Roraima,2015-01-31,6.9,2015,1
Roraima,2015-02-28,1.0,2015,2
Roraima,2015-03-31,7.7,2015,3
Roraima,2015-04-30,56.1,2015,4
Roraima,2015-05-31,335.2,2015,5
Roraima,2015-06-30,248.0,2015,6
Roraima,2015-07-31,301.5,2015,7
Roraima,2015-08-31,263.7,2015,8
Roraima,2015-09-30,15.7,2015,9
Roraima,2015-10-31,44.4,2015,10
Roraima,2015-11-30,19.0,2015,11
Roraima,2015-12-31,13.5,2015,12
Roraima,2016-01-31,0.0,2016,1
Roraima,2016-02-29,28.5,2016,2
Roraima,2016-03-31,0.4,2016,3
Roraima,2016-04-30,155.5,2016,4
Roraima,2016-05-31,350.4,2016,5
Roraima,2016-06-30,352.8,2016,6
Roraima,2016-07-31,322.8,2016,7
Roraima,2016-08-31,106.7,2016,8
Roraima,2016-09-30,143.0,2016,9
Roraima,2016-10-31,78.9,2016,10
Roraima,2016-11-30,47.9,2016,11
Roraima,2016-12-31,110.3,2016,12
Roraima,2017-01-31,20.2,2017,1
Roraima,2017-02-28,1.4,2017,2
Roraima,2017-03-31,119.4,2017,3
Roraima,2017-04-30,129.0,2017,4
Roraima,2017-05-31,361.2,2017,5
Roraima,2017-06-30,243.5,2017,6
Roraima,2017-07-31,330.6,2017,7
Roraima,2017-08-31,78.0,2017,8
Roraima,2017-09-30,104.7,2017,9
Roraima,2017-10-31,5.6,2017,10
Roraima,2017-11-30,1.1,2017,11
Sergipe,1998-01-31,23.6,1998,1
Sergipe,1998-02-28,21.4,1998,2
Sergipe,1998-03-31,75.5,1998,3
Sergipe,1998-04-30,53.2,1998,4
Sergipe,1998-05-31,215.1,1998,5
Sergipe,1998-06-30,377.9,1998,6
Sergipe,1998-07-31,189.5,1998,7
Sergipe,1998-08-31,120.4,1998,8
Sergipe,1998-09-30,53.8,1998,9
Sergipe,1998-10-31,6.4,1998,10
Sergipe,1998-11-30,1.2,1998,11
Sergipe,1998-12-31,17.9,1998,12
Sergipe,1999-01-31,14.8,1999,1
Sergipe,1999-02-28,42.7,1999,2
Sergipe,1999-03-31,19.1,1999,3
Sergipe,1999-04-30,112.5,1999,4
Sergipe,1999-05-31,408.4,1999,5
Sergipe,1999-06-30,182.8,1999,6
Sergipe,1999-07-31,133.5,1999,7
Sergipe,1999-08-31,122.6,1999,8
Sergipe,1999-09-30,75.7,1999,9
Sergipe,1999-10-31,184.0,1999,10
Sergipe,1999-11-30,180.9,1999,11
Sergipe,1999-12-31,41.8,1999,12
Sergipe,2000-01-31,64.2,2000,1
Sergipe,2000-02-29,276.7,2000,2
Sergipe,2000-03-31,75.7,2000,3
Sergipe,2000-04-30,397.3,2000,4
Sergipe,2000-05-31,84.6,2000,5
Sergipe,2000-06-30,210.7,2000,6
Sergipe,2000-07-31,98.9,2000,7
Sergipe,2000-08-31,98.2,2000,8
Sergipe,2000-09-30,98.6,2000,9
Sergipe,2000-10-31,5.6,2000,10
Sergipe,2000-11-30,67.6,2000,11
Sergipe,2000-12-31,83.8,2000,12
Sergipe,2001-01-31,24.6,2001,1
Sergipe,2001-02-28,71.2,2001,2
Sergipe,2001-03-31,73.1,2001,3
Sergipe,2001-04-30,170.3,2001,4
Sergipe,2001-05-31,101.3,2001,5
Sergipe,2001-06-30,325.1,2001,6
Sergipe,2001-07-31,228.2,2001,7
Sergipe,2001-08-31,163.3,2001,8
Sergipe,2001-09-30,91.8,2001,9
Sergipe,2001-10-31,117.8,2001,10
Sergipe,2001-11-30,56.0,2001,11
Sergipe,2001-12-31,56.1,2001,12
Sergipe,2002-01-31,169.2,2002,1
Sergipe,2002-02-28,52.0,2002,2
Sergipe,2002-03-31,57.3,2002,3
Sergipe,2002-04-30,44.9,2002,4
Sergipe,2002-05-31,279.1,2002,5
Sergipe,2002-06-30,201.8,2002,6
Sergipe,2002-07-31,95.6,2002,7
Sergipe,2002-08-31,59.5,2002,8
Sergipe,2002-09-30,34.6,2002,9
Sergipe,2002-10-31,12.5,2002,10
Sergipe,2002-11-30,22.8,2002,11
Sergipe,2002-12-31,4.2,2002,12
Sergipe,2003-01-31,10.7,2003,1
Sergipe,2003-02-28,78.1,2003,2
Sergipe,2003-03-31,49.5,2003,3
Sergipe,2003-04-30,46.8,2003,4
Sergipe,2003-05-31,241.5,2003,5
Sergipe,2003-06-30,169.5,2003,6
