year,state,month,number,date,country
2014,Rio Grande do Sul,5,63,01-01-14,Brazil
2015,Rio Grande do Sul,5,169,01-01-15,Brazil
2016,Rio Grande do Sul,5,37,01-01-16,Brazil
2017,Rio Grande do Sul,5,43,01-01-17,Brazil
1998,Rio Grande do Sul,6,0,01-01-98,Brazil
1999,Rio Grande do Sul,6,9,01-01-99,Brazil
2000,Rio Grande do Sul,6,0,01-01-00,Brazil
2001,Rio Grande do Sul,6,1,01-01-01,Brazil
2002,Rio Grande do Sul,6,4,01-01-02,Brazil
2003,Rio Grande do Sul,6,14,01-01-03,Brazil
2004,Rio Grande do Sul,6,52,01-01-04,Brazil
2005,Rio Grande do Sul,6,50,01-01-05,Brazil
2006,Rio Grande do Sul,6,7,01-01-06,Brazil
2007,Rio Grande do Sul,6,10,01-01-07,Brazil
2008,Rio Grande do Sul,6,16,01-01-08,Brazil
2009,Rio Grande do Sul,6,30,01-01-09,Brazil
2010,Rio Grande do Sul,6,4,01-01-10,Brazil
2011,Rio Grande do Sul,6,12,01-01-11,Brazil
2012,Rio Grande do Sul,6,86,01-01-12,Brazil
2013,Rio Grande do Sul,6,10,01-01-13,Brazil
2014,Rio Grande do Sul,6,62,01-01-14,Brazil
2015,Rio Grande do Sul,6,68,01-01-15,Brazil
2016,Rio Grande do Sul,6,261,01-01-16,Brazil
2017,Rio Grande do Sul,6,103,01-01-17,Brazil
1998,Rio Grande do Sul,7,0,01-01-98,Brazil
1999,Rio Grande do Sul,7,10,01-01-99,Brazil
2000,Rio Grande do Sul,7,6,01-01-00,Brazil
2001,Rio Grande do Sul,7,6,01-01-01,Brazil
2002,Rio Grande do Sul,7,93,01-01-02,Brazil
2003,Rio Grande do Sul,7,55,01-01-03,Brazil
2004,Rio Grande do Sul,7,156,01-01-04,Brazil
2005,Rio Grande do Sul,7,47,01-01-05,Brazil
2006,Rio Grande do Sul,7,45,01-01-06,Brazil
2007,Rio Grande do Sul,7,7,01-01-07,Brazil
2008,Rio Grande do Sul,7,25,01-01-08,Brazil
2009,Rio Grande do Sul,7,47,01-01-09,Brazil
2010,Rio Grande do Sul,7,34,01-01-10,Brazil
2011,Rio Grande do Sul,7,45,01-01-11,Brazil
2012,Rio Grande do Sul,7,134,01-01-12,Brazil
2013,Rio Grande do Sul,7,42,01-01-13,Brazil
2014,Rio Grande do Sul,7,209,01-01-14,Brazil
2015,Rio Grande do Sul,7,60,01-01-15,Brazil
2016,Rio Grande do Sul,7,865,01-01-16,Brazil
2017,Rio Grande do Sul,7,885,01-01-17,Brazil
1998,Rio Grande do Sul,8,9,01-01-98,Brazil
1999,Rio Grande do Sul,8,24,01-01-99,Brazil
2000,Rio Grande do Sul,8,18,01-01-00,Brazil
2001,Rio Grande do Sul,8,36,01-01-01,Brazil
2002,Rio Grande do Sul,8,824,01-01-02,Brazil
2003,Rio Grande do Sul,8,1,01-01-03,Brazil
2004,Rio Grande do Sul,8,403,01-01-04,Brazil
2005,Rio Grande do Sul,8,120,01-01-05,Brazil
2006,Rio Grande do Sul,8,642,01-01-06,Brazil
2007,Rio Grande do Sul,8,258,01-01-07,Brazil
2008,Rio Grande do Sul,8,56,01-01-08,Brazil
2009,Rio Grande do Sul,8,1,01-01-09,Brazil
2010,Rio Grande do Sul,8,267,01-01-10,Brazil
2011,Rio Grande do Sul,8,116,01-01-11,Brazil
2012,Rio Grande do Sul,8,410,01-01-12,Brazil
2013,Rio Grande do Sul,8,156,01-01-13,Brazil
2014,Rio Grande do Sul,8,1,01-01-14,Brazil
2015,Rio Grande do Sul,8,414,01-01-15,Brazil
2016,Rio Grande do Sul,8,1,01-01-16,Brazil
2017,Rio Grande do Sul,8,819,01-01-17,Brazil
1998,Rio Grande do Sul,9,60,01-01-98,Brazil
1999,Rio Grande do Sul,9,19,01-01-99,Brazil
2000,Rio Grande do Sul,9,27,01-01-00,Brazil
2001,Rio Grande do Sul,9,2,01-01-01,Brazil
2002,Rio Grande do Sul,9,226,01-01-02,Brazil
2003,Rio Grande do Sul,9,828,01-01-03,Brazil
2004,Rio Grande do Sul,9,431,01-01-04,Brazil
2005,Rio Grande do Sul,9,189,01-01-05,Brazil
2006,Rio Grande do Sul,9,444,01-01-06,Brazil
2007,Rio Grande do Sul,9,573,01-01-07,Brazil
2008,Rio Grande do Sul,9,97,01-01-08,Brazil
2009,Rio Grande do Sul,9,39,01-01-09,Brazil
2010,Rio Grande do Sul,9,250,01-01-10,Brazil
2011,Rio Grande do Sul,9,449,01-01-11,Brazil
2012,Rio Grande do Sul,9,113,01-01-12,Brazil
2013,Rio Grande do Sul,9,290,01-01-13,Brazil
2014,Rio Grande do Sul,9,224,01-01-14,Brazil
2015,Rio Grande do Sul,9,222,01-01-15,Brazil
2016,Rio Grande do Sul,9,628,01-01-16,Brazil
2017,Rio Grande do Sul,9,343,01-01-17,Brazil
1998,Rio Grande do Sul,10,169,01-01-98,Brazil
1999,Rio Grande do Sul,10,56,01-01-99,Brazil
2000,Rio Grande do Sul,10,10,01-01-00,Brazil
2001,Rio Grande do Sul,10,13,01-01-01,Brazil
2002,Rio Grande do Sul,10,10,01-01-02,Brazil
2003,Rio Grande do Sul,10,360,01-01-03,Brazil
2004,Rio Grande do Sul,10,680,01-01-04,Brazil
2005,Rio Grande do Sul,10,83,01-01-05,Brazil
2006,Rio Grande do Sul,10,160,01-01-06,Brazil
2007,Rio Grande do Sul,10,21,01-01-07,Brazil
2008,Rio Grande do Sul,10,135,01-01-08,Brazil
2009,Rio Grande do Sul,10,148,01-01-09,Brazil
2010,Rio Grande do Sul,10,95,01-01-10,Brazil
2011,Rio Grande do Sul,10,74,01-01-11,Brazil
2012,Rio Grande do Sul,10,91,01-01-12,Brazil
2013,Rio Grande do Sul,10,104,01-01-13,Brazil
2014,Rio Grande do Sul,10,110,01-01-14,Brazil
2015,Rio Grande do Sul,10,70,01-01-15,Brazil
2016,Rio Grande do Sul,10,93,01-01-16,Brazil
2017,Rio Grande do Sul,10,101,01-01-17,Brazil
1998,Rio Grande do Sul,11,28,01-01-98,Brazil
1999,Rio Grande do Sul,11,103,01-01-99,Brazil
2000,Rio Grande do Sul,11,18,01-01-00,Brazil
2001,Rio Grande do Sul,11,49,01-01-01,Brazil
2002,Rio Grande do Sul,11,117,01-01-02,Brazil
2003,Rio Grande do Sul,11,121,01-01-03,Brazil
2004,Rio Grande do Sul,11,161,01-01-04,Brazil
2005,Rio Grande do Sul,11,227,01-01-05,Brazil
2006,Rio Grande do Sul,11,27,01-01-06,Brazil
2007,Rio Grande do Sul,11,13,01-01-07,Brazil
2008,Rio Grande do Sul,11,14,01-01-08,Brazil
2009,Rio Grande do Sul,11,4,01-01-09,Brazil
2010,Rio Grande do Sul,11,90,01-01-10,Brazil
2011,Rio Grande do Sul,11,117,01-01-11,Brazil
2012,Rio Grande do Sul,11,74,01-01-12,Brazil
2013,Rio Grande do Sul,11,110,01-01-13,Brazil
2014,Rio Grande do Sul,11,68,01-01-14,Brazil
2015,Rio Grande do Sul,11,30,01-01-15,Brazil
2016,Rio Grande do Sul,11,105,01-01-16,Brazil
2017,Rio Grande do Sul,11,137,01-01-17,Brazil
1998,Rio Grande do Sul,12,605,01-01-98,Brazil
1999,Rio Grande do Sul,12,1,01-01-99,Brazil
2000,Rio Grande do Sul,12,80,01-01-00,Brazil
2001,Rio Grande do Sul,12,80,01-01-01,Brazil
2002,Rio Grande do Sul,12,45,01-01-02,Brazil
2003,Rio Grande do Sul,12,98,01-01-03,Brazil
2004,Rio Grande do Sul,12,99,01-01-04,Brazil
2005,Rio Grande do Sul,12,35,01-01-05,Brazil
2006,Rio Grande do Sul,12,15,01-01-06,Brazil
2007,Rio Grande do Sul,12,25,01-01-07,Brazil
2008,Rio Grande do Sul,12,32,01-01-08,Brazil
2009,Rio Grande do Sul,12,15,01-01-09,Brazil
2010,Rio Grande do Sul,12,103,01-01-10,Brazil
2011,Rio Grande do Sul,12,69,01-01-11,Brazil
2012,Rio Grande do Sul,12,38,01-01-12,Brazil
2013,Rio Grande do Sul,12,62,01-01-13,Brazil
2014,Rio Grande do Sul,12,31,01-01-14,Brazil
2015,Rio Grande do Sul,12,42,01-01-15,Brazil
2016,Rio Grande do Sul,12,79,01-01-16,Brazil
1998,Rondonia,1,0,01-01-98,Brazil
1999,Rondonia,1,1,01-01-99,Brazil
2000,Rondonia,1,0,01-01-00,Brazil
2001,Rondonia,1,0,01-01-01,Brazil
2002,Rondonia,1,6,01-01-02,Brazil
2003,Rondonia,1,62,01-01-03,Brazil
2004,Rondonia,1,30,01-01-04,Brazil
2005,Rondonia,1,99,01-01-05,Brazil
2006,Rondonia,1,16,01-01-06,Brazil
2007,Rondonia,1,33,01-01-07,Brazil
2008,Rondonia,1,4,01-01-08,Brazil
2009,Rondonia,1,17,01-01-09,Brazil
2010,Rondonia,1,18,01-01-10,Brazil
2011,Rondonia,1,1,01-01-11,Brazil
2012,Rondonia,1,2,01-01-12,Brazil
2013,Rondonia,1,7,01-01-13,Brazil
2014,Rondonia,1,12,01-01-14,Brazil
2015,Rondonia,1,30,01-01-15,Brazil
2016,Rondonia,1,93,01-01-16,Brazil
2017,Rondonia,1,44,01-01-17,Brazil
1998,Rondonia,2,0,01-01-98,Brazil
1999,Rondonia,2,1,01-01-99,Brazil
2000,Rondonia,2,6,01-01-00,Brazil
2001,Rondonia,2,2,01-01-01,Brazil
2002,Rondonia,2,8,01-01-02,Brazil
2003,Rondonia,2,10,01-01-03,Brazil
2004,Rondonia,2,12,01-01-04,Brazil
2005,Rondonia,2,42,01-01-05,Brazil
2006,Rondonia,2,17,01-01-06,Brazil
2007,Rondonia,2,8,01-01-07,Brazil
2008,Rondonia,2,7,01-01-08,Brazil
2009,Rondonia,2,1,01-01-09,Brazil
2010,Rondonia,2,9,01-01-10,Brazil
2011,Rondonia,2,2,01-01-11,Brazil
2012,Rondonia,2,9,01-01-12,Brazil
2013,Rondonia,2,8,01-01-13,Brazil
2014,Rondonia,2,5,01-01-14,Brazil
2015,Rondonia,2,22,01-01-15,Brazil
2016,Rondonia,2,88,01-01-16,Brazil
2017,Rondonia,2,10,01-01-17,Brazil
1998,Rondonia,3,0,01-01-98,Brazil
1999,Rondonia,3,8,01-01-99,Brazil
2000,Rondonia,3,9,01-01-00,Brazil
2001,Rondonia,3,0,01-01-01,Brazil
2002,Rondonia,3,1,01-01-02,Brazil
2003,Rondonia,3,13,01-01-03,Brazil
2004,Rondonia,3,20,01-01-04,Brazil
2005,Rondonia,3,17,01-01-05,Brazil
2006,Rondonia,3,15,01-01-06,Brazil
2007,Rondonia,3,20,01-01-07,Brazil
2008,Rondonia,3,2,01-01-08,Brazil
2009,Rondonia,3,12,01-01-09,Brazil
2010,Rondonia,3,11,01-01-10,Brazil
2011,Rondonia,3,6,01-01-11,Brazil
2012,Rondonia,3,6,01-01-12,Brazil
2013,Rondonia,3,23,01-01-13,Brazil
2014,Rondonia,3,13,01-01-14,Brazil
2015,Rondonia,3,15,01-01-15,Brazil
2016,Rondonia,3,25,01-01-16,Brazil
2017,Rondonia,3,21,01-01-17,Brazil
1998,Rondonia,4,0,01-01-98,Brazil
1999,Rondonia,4,3,01-01-99,Brazil
2000,Rondonia,4,0,01-01-00,Brazil
2001,Rondonia,4,0,01-01-01,Brazil
2002,Rondonia,4,3,01-01-02,Brazil
2003,Rondonia,4,10,01-01-03,Brazil
2004,Rondonia,4,14,01-01-04,Brazil
2005,Rondonia,4,7,01-01-05,Brazil
2006,Rondonia,4,0,01-01-06,Brazil
2007,Rondonia,4,0,01-01-07,Brazil
2008,Rondonia,4,8,01-01-08,Brazil
2009,Rondonia,4,3,01-01-09,Brazil
2010,Rondonia,4,19,01-01-10,Brazil
2011,Rondonia,4,8,01-01-11,Brazil
2012,Rondonia,4,12,01-01-12,Brazil
2013,Rondonia,4,9,01-01-13,Brazil
2014,Rondonia,4,15,01-01-14,Brazil
2015,Rondonia,4,15,01-01-15,Brazil
2016,Rondonia,4,59,01-01-16,Brazil
2017,Rondonia,4,19,01-01-17,Brazil
1998,Rondonia,5,0,01-01-98,Brazil
1999,Rondonia,5,3,01-01-99,Brazil
2000,Rondonia,5,13,01-01-00,Brazil
2001,Rondonia,5,5,01-01-01,Brazil
2002,Rondonia,5,10,01-01-02,Brazil
2003,Rondonia,5,21,01-01-03,Brazil
2004,Rondonia,5,9,01-01-04,Brazil
2005,Rondonia,5,38,01-01-05,Brazil
2006,Rondonia,5,7,01-01-06,Brazil
2007,Rondonia,5,4,01-01-07,Brazil
2008,Rondonia,5,1,01-01-08,Brazil
2009,Rondonia,5,6,01-01-09,Brazil
2010,Rondonia,5,41,01-01-10,Brazil
2011,Rondonia,5,54,01-01-11,Brazil
2012,Rondonia,5,22,01-01-12,Brazil
2013,Rondonia,5,9,01-01-13,Brazil
2014,Rondonia,5,28,01-01-14,Brazil
2015,Rondonia,5,13,01-01-15,Brazil
2016,Rondonia,5,44,01-01-16,Brazil
2017,Rondonia,5,31,01-01-17,Brazil
1998,Rondonia,6,26,01-01-98,Brazil
1999,Rondonia,6,10,01-01-99,Brazil
2000,Rondonia,6,54,01-01-00,Brazil
2001,Rondonia,6,31,01-01-01,Brazil
2002,Rondonia,6,141,01-01-02,Brazil
2003,Rondonia,6,74,01-01-03,Brazil
2004,Rondonia,6,151,01-01-04,Brazil
2005,Rondonia,6,153,01-01-05,Brazil
2006,Rondonia,6,40,01-01-06,Brazil
2007,Rondonia,6,71,01-01-07,Brazil
2008,Rondonia,6,11,01-01-08,Brazil
2009,Rondonia,6,13,01-01-09,Brazil
2010,Rondonia,6,44,01-01-10,Brazil
2011,Rondonia,6,130,01-01-11,Brazil
2012,Rondonia,6,32,01-01-12,Brazil
2013,Rondonia,6,22,01-01-13,Brazil
2014,Rondonia,6,92,01-01-14,Brazil
2015,Rondonia,6,119,01-01-15,Brazil
2016,Rondonia,6,170,01-01-16,Brazil
2017,Rondonia,6,192,01-01-17,Brazil
1998,Rondonia,7,365,01-01-98,Brazil
1999,Rondonia,7,135,01-01-99,Brazil
2000,Rondonia,7,117,01-01-00,Brazil
2001,Rondonia,7,74,01-01-01,Brazil
2002,Rondonia,7,539,01-01-02,Brazil
2003,Rondonia,7,516,01-01-03,Brazil
2004,Rondonia,7,1,01-01-04,Brazil
2005,Rondonia,7,798,01-01-05,Brazil
2006,Rondonia,7,314,01-01-06,Brazil
2007,Rondonia,7,187,01-01-07,Brazil
2008,Rondonia,7,138,01-01-08,Brazil
2009,Rondonia,7,110,01-01-09,Brazil
2010,Rondonia,7,747,01-01-10,Brazil
2011,Rondonia,7,293,01-01-11,Brazil
2012,Rondonia,7,205,01-01-12,Brazil
2013,Rondonia,7,117,01-01-13,Brazil
2014,Rondonia,7,192,01-01-14,Brazil
2015,Rondonia,7,423,01-01-15,Brazil
2016,Rondonia,7,969,01-01-16,Brazil
2017,Rondonia,7,1,01-01-17,Brazil
1998,Rondonia,8,2,01-01-98,Brazil
1999,Rondonia,8,1,01-01-99,Brazil
2000,Rondonia,8,2,01-01-00,Brazil
2001,Rondonia,8,2,01-01-01,Brazil
2002,Rondonia,8,3,01-01-02,Brazil
2003,Rondonia,8,7,01-01-03,Brazil
2004,Rondonia,8,6,01-01-04,Brazil
2005,Rondonia,8,6,01-01-05,Brazil
2006,Rondonia,8,3,01-01-06,Brazil
2007,Rondonia,8,4,01-01-07,Brazil
2008,Rondonia,8,1,01-01-08,Brazil
2009,Rondonia,8,484,01-01-09,Brazil
2010,Rondonia,8,4,01-01-10,Brazil
2011,Rondonia,8,1,01-01-11,Brazil
2012,Rondonia,8,2,01-01-12,Brazil
2013,Rondonia,8,885,01-01-13,Brazil
2014,Rondonia,8,3,01-01-14,Brazil
2015,Rondonia,8,3,01-01-15,Brazil
2016,Rondonia,8,3,01-01-16,Brazil
2017,Rondonia,8,4,01-01-17,Brazil
1998,Rondonia,9,3,01-01-98,Brazil
1999,Rondonia,9,3,01-01-99,Brazil
2000,Rondonia,9,2,01-01-00,Brazil
2001,Rondonia,9,1,01-01-01,Brazil
2002,Rondonia,9,7,01-01-02,Brazil
2003,Rondonia,9,6,01-01-03,Brazil
2004,Rondonia,9,13,01-01-04,Brazil
2005,Rondonia,9,13,01-01-05,Brazil
2006,Rondonia,9,9,01-01-06,Brazil
2007,Rondonia,9,6,01-01-07,Brazil
2008,Rondonia,9,3,01-01-08,Brazil
2009,Rondonia,9,1,01-01-09,Brazil
2010,Rondonia,9,4,01-01-10,Brazil
2011,Rondonia,9,1,01-01-11,Brazil
2012,Rondonia,9,2,01-01-12,Brazil
2013,Rondonia,9,1,01-01-13,Brazil
2014,Rondonia,9,2,01-01-14,Brazil
2015,Rondonia,9,6,01-01-15,Brazil
2016,Rondonia,9,4,01-01-16,Brazil
2017,Rondonia,9,5,01-01-17,Brazil
1998,Rondonia,10,483,01-01-98,Brazil
1999,Rondonia,10,1,01-01-99,Brazil
2000,Rondonia,10,644,01-01-00,Brazil
2001,Rondonia,10,796,01-01-01,Brazil
2002,Rondonia,10,3,01-01-02,Brazil
2003,Rondonia,10,4,01-01-03,Brazil
2004,Rondonia,10,3,01-01-04,Brazil
2005,Rondonia,10,2,01-01-05,Brazil
2006,Rondonia,10,1,01-01-06,Brazil
2007,Rondonia,10,2,01-01-07,Brazil
2008,Rondonia,10,1,01-01-08,Brazil
2009,Rondonia,10,1,01-01-09,Brazil
2010,Rondonia,10,1,01-01-10,Brazil
2011,Rondonia,10,822,01-01-11,Brazil
2012,Rondonia,10,1,01-01-12,Brazil
2013,Rondonia,10,555,01-01-13,Brazil
2014,Rondonia,10,1,01-01-14,Brazil
2015,Rondonia,10,2,01-01-15,Brazil
2016,Rondonia,10,1,01-01-16,Brazil
2017,Rondonia,10,2,01-01-17,Brazil
1998,Rondonia,11,3,01-01-98,Brazil
1999,Rondonia,11,41,01-01-99,Brazil
2000,Rondonia,11,13,01-01-00,Brazil
2001,Rondonia,11,91,01-01-01,Brazil
2002,Rondonia,11,639,01-01-02,Brazil
2003,Rondonia,11,526,01-01-03,Brazil
2004,Rondonia,11,452,01-01-04,Brazil
2005,Rondonia,11,465,01-01-05,Brazil
2006,Rondonia,11,253,01-01-06,Brazil
2007,Rondonia,11,53,01-01-07,Brazil
2008,Rondonia,11,78,01-01-08,Brazil
2009,Rondonia,11,128,01-01-09,Brazil
2010,Rondonia,11,238,01-01-10,Brazil
2011,Rondonia,11,245,01-01-11,Brazil
2012,Rondonia,11,174,01-01-12,Brazil
2013,Rondonia,11,108,01-01-13,Brazil
2014,Rondonia,11,202,01-01-14,Brazil
2015,Rondonia,11,1,01-01-15,Brazil
2016,Rondonia,11,401,01-01-16,Brazil
2017,Rondonia,11,372,01-01-17,Brazil
1998,Rondonia,12,33,01-01-98,Brazil
1999,Rondonia,12,0,01-01-99,Brazil
2000,Rondonia,12,7,01-01-00,Brazil
2001,Rondonia,12,1,01-01-01,Brazil
2002,Rondonia,12,91,01-01-02,Brazil
2003,Rondonia,12,214,01-01-03,Brazil
2004,Rondonia,12,208,01-01-04,Brazil
2005,Rondonia,12,36,01-01-05,Brazil
2006,Rondonia,12,4,01-01-06,Brazil
2007,Rondonia,12,6,01-01-07,Brazil
2008,Rondonia,12,2,01-01-08,Brazil
2009,Rondonia,12,9,01-01-09,Brazil
2010,Rondonia,12,158,01-01-10,Brazil
2011,Rondonia,12,37,01-01-11,Brazil
2012,Rondonia,12,50,01-01-12,Brazil
2013,Rondonia,12,143,01-01-13,Brazil
2014,Rondonia,12,144,01-01-14,Brazil
2015,Rondonia,12,282,01-01-15,Brazil
2016,Rondonia,12,148,01-01-16,Brazil
1998,Roraima,1,0,01-01-98,Brazil
1999,Roraima,1,15,01-01-99,Brazil
2000,Roraima,1,18,01-01-00,Brazil
2001,Roraima,1,101,01-01-01,Brazil
2002,Roraima,1,302,01-01-02,Brazil
2003,Roraima,1,547,01-01-03,Brazil
2004,Roraima,1,355,01-01-04,Brazil
2005,Roraima,1,106,01-01-05,Brazil
2006,Roraima,1,70,01-01-06,Brazil
2007,Roraima,1,194,01-01-07,Brazil
2008,Roraima,1,245,01-01-08,Brazil
2009,Roraima,1,45,01-01-09,Brazil
2010,Roraima,1,351,01-01-10,Brazil
2011,Roraima,1,225,01-01-11,Brazil
2012,Roraima,1,217,01-01-12,Brazil
2013,Roraima,1,397,01-01-13,Brazil
2014,Roraima,1,355,01-01-14,Brazil
2015,Roraima,1,330,01-01-15,Brazil
2016,Roraima,1,1,01-01-16,Brazil
2017,Roraima,1,108,01-01-17,Brazil
1998,Roraima,2,0,01-01-98,Brazil
1999,Roraima,2,20,01-01-99,Brazil
2000,Roraima,2,57,01-01-00,Brazil
2001,Roraima,2,646,01-01-01,Brazil
2002,Roraima,2,476,01-01-02,Brazil
2003,Roraima,2,767,01-01-03,Brazil
2004,Roraima,2,259,01-01-04,Brazil
2005,Roraima,2,105,01-01-05,Brazil
2006,Roraima,2,283,01-01-06,Brazil
2007,Roraima,2,796,01-01-07,Brazil
2008,Roraima,2,138,01-01-08,Brazil
2009,Roraima,2,153,01-01-09,Brazil
2010,Roraima,2,470,01-01-10,Brazil
2011,Roraima,2,112,01-01-11,Brazil
2012,Roraima,2,130,01-01-12,Brazil
2013,Roraima,2,62,01-01-13,Brazil
2014,Roraima,2,226,01-01-14,Brazil
2015,Roraima,2,418,01-01-15,Brazil
2016,Roraima,2,171,01-01-16,Brazil
2017,Roraima,2,129,01-01-17,Brazil
1998,Roraima,3,0,01-01-98,Brazil
1999,Roraima,3,98,01-01-99,Brazil
2000,Roraima,3,125,01-01-00,Brazil
2001,Roraima,3,1,01-01-01,Brazil
2002,Roraima,3,820,01-01-02,Brazil
2003,Roraima,3,1,01-01-03,Brazil
2004,Roraima,3,276,01-01-04,Brazil
2005,Roraima,3,244,01-01-05,Brazil
2006,Roraima,3,385,01-01-06,Brazil
2007,Roraima,3,665,01-01-07,Brazil
2008,Roraima,3,422,01-01-08,Brazil
2009,Roraima,3,176,01-01-09,Brazil
2010,Roraima,3,417,01-01-10,Brazil
2011,Roraima,3,91,01-01-11,Brazil
2012,Roraima,3,99,01-01-12,Brazil
2013,Roraima,3,179,01-01-13,Brazil
2014,Roraima,3,494,01-01-14,Brazil
2015,Roraima,3,163,01-01-15,Brazil
2016,Roraima,3,1,01-01-16,Brazil
2017,Roraima,3,216,01-01-17,Brazil
1998,Roraima,4,0,01-01-98,Brazil
1999,Roraima,4,16,01-01-99,Brazil
2000,Roraima,4,0,01-01-00,Brazil
2001,Roraima,4,380,01-01-01,Brazil
2002,Roraima,4,41,01-01-02,Brazil
2003,Roraima,4,268,01-01-03,Brazil
2004,Roraima,4,182,01-01-04,Brazil
2005,Roraima,4,22,01-01-05,Brazil
2006,Roraima,4,201,01-01-06,Brazil
2007,Roraima,4,58,01-01-07,Brazil
2008,Roraima,4,175,01-01-08,Brazil
2009,Roraima,4,115,01-01-09,Brazil
2010,Roraima,4,15,01-01-10,Brazil
2011,Roraima,4,108,01-01-11,Brazil
2012,Roraima,4,25,01-01-12,Brazil
2013,Roraima,4,87,01-01-13,Brazil
2014,Roraima,4,162,01-01-14,Brazil
2015,Roraima,4,278,01-01-15,Brazil
2016,Roraima,4,126,01-01-16,Brazil
2017,Roraima,4,51,01-01-17,Brazil
1998,Roraima,5,0,01-01-98,Brazil
1999,Roraima,5,0,01-01-99,Brazil
2000,Roraima,5,7,01-01-00,Brazil
2001,Roraima,5,9,01-01-01,Brazil
2002,Roraima,5,0,01-01-02,Brazil
2003,Roraima,5,0,01-01-03,Brazil
2004,Roraima,5,2,01-01-04,Brazil
2005,Roraima,5,1,01-01-05,Brazil
2006,Roraima,5,0,01-01-06,Brazil
2007,Roraima,5,0,01-01-07,Brazil
2008,Roraima,5,8,01-01-08,Brazil
2009,Roraima,5,219,01-01-09,Brazil
2010,Roraima,5,3,01-01-10,Brazil
2011,Roraima,5,4,01-01-11,Brazil
2012,Roraima,5,18,01-01-12,Brazil
2013,Roraima,5,4,01-01-13,Brazil
2014,Roraima,5,58,01-01-14,Brazil
2015,Roraima,5,12,01-01-15,Brazil
2016,Roraima,5,22,01-01-16,Brazil
2017,Roraima,5,29,01-01-17,Brazil
1998,Roraima,6,0,01-01-98,Brazil
1999,Roraima,6,3,01-01-99,Brazil
2000,Roraima,6,0,01-01-00,Brazil
2001,Roraima,6,1,01-01-01,Brazil
2002,Roraima,6,0,01-01-02,Brazil
2003,Roraima,6,0,01-01-03,Brazil
2004,Roraima,6,6,01-01-04,Brazil
2005,Roraima,6,5,01-01-05,Brazil
2006,Roraima,6,0,01-01-06,Brazil
2007,Roraima,6,1,01-01-07,Brazil
2008,Roraima,6,0,01-01-08,Brazil
2009,Roraima,6,16,01-01-09,Brazil
2010,Roraima,6,0,01-01-10,Brazil
2011,Roraima,6,6,01-01-11,Brazil
2012,Roraima,6,22,01-01-12,Brazil
2013,Roraima,6,6,01-01-13,Brazil
2014,Roraima,6,4,01-01-14,Brazil
2015,Roraima,6,3,01-01-15,Brazil
2016,Roraima,6,7,01-01-16,Brazil
2017,Roraima,6,4,01-01-17,Brazil
1998,Roraima,7,1,01-01-98,Brazil
1999,Roraima,7,4,01-01-99,Brazil
2000,Roraima,7,0,01-01-00,Brazil
2001,Roraima,7,1,01-01-01,Brazil
2002,Roraima,7,7,01-01-02,Brazil
2003,Roraima,7,0,01-01-03,Brazil
2004,Roraima,7,2,01-01-04,Brazil
2005,Roraima,7,2,01-01-05,Brazil
2006,Roraima,7,0,01-01-06,Brazil
2007,Roraima,7,3,01-01-07,Brazil
2008,Roraima,7,0,01-01-08,Brazil
2009,Roraima,7,18,01-01-09,Brazil
2010,Roraima,7,1,01-01-10,Brazil
2011,Roraima,7,9,01-01-11,Brazil
2012,Roraima,7,2,01-01-12,Brazil
2013,Roraima,7,4,01-01-13,Brazil
2014,Roraima,7,9,01-01-14,Brazil
2015,Roraima,7,5,01-01-15,Brazil
2016,Roraima,7,0,01-01-16,Brazil
2017,Roraima,7,3,01-01-17,Brazil
1998,Roraima,8,0,01-01-98,Brazil
1999,Roraima,8,1,01-01-99,Brazil
2000,Roraima,8,9,01-01-00,Brazil
2001,Roraima,8,4,01-01-01,Brazil
2002,Roraima,8,7,01-01-02,Brazil
2003,Roraima,8,2,01-01-03,Brazil
2004,Roraima,8,18,01-01-04,Brazil
2005,Roraima,8,9,01-01-05,Brazil
2006,Roraima,8,4,01-01-06,Brazil
2007,Roraima,8,2,01-01-07,Brazil
2008,Roraima,8,4,01-01-08,Brazil
2009,Roraima,8,29,01-01-09,Brazil
2010,Roraima,8,3,01-01-10,Brazil
2011,Roraima,8,39,01-01-11,Brazil
2012,Roraima,8,4,01-01-12,Brazil
2013,Roraima,8,3,01-01-13,Brazil
2014,Roraima,8,12,01-01-14,Brazil
2015,Roraima,8,11,01-01-15,Brazil
2016,Roraima,8,11,01-01-16,Brazil
2017,Roraima,8,35,01-01-17,Brazil
1998,Roraima,9,2,01-01-98,Brazil
1999,Roraima,9,3,01-01-99,Brazil
2000,Roraima,9,12,01-01-00,Brazil
2001,Roraima,9,1,01-01-01,Brazil
2002,Roraima,9,48,01-01-02,Brazil
2003,Roraima,9,6,01-01-03,Brazil
2004,Roraima,9,9,01-01-04,Brazil
2005,Roraima,9,72,01-01-05,Brazil
2006,Roraima,9,40,01-01-06,Brazil
2007,Roraima,9,9,01-01-07,Brazil
2008,Roraima,9,17,01-01-08,Brazil
2009,Roraima,9,117,01-01-09,Brazil
2010,Roraima,9,18,01-01-10,Brazil
2011,Roraima,9,53,01-01-11,Brazil
2012,Roraima,9,67,01-01-12,Brazil
2013,Roraima,9,18,01-01-13,Brazil
2014,Roraima,9,67,01-01-14,Brazil
2015,Roraima,9,77,01-01-15,Brazil
